coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,consultarIOC,Integracion Externa,Route,Validación de identidad operacional a través de colas AMQ. Envía trama IOC7430001I,direct:consultarIOC,AMQ,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,crearJMSCorrelationId24|procesarIOC,3,500|502,,,ActiveMQ|{{amq.queue.temp.int}}|JMSCorrelationID,,,IOC validations,IllegalArgumentException|ExchangeTimedOutException,XSLT IOC7430001I_consultar.xsl|IOC743001O_consultar_correcto.xsl|IOC743001O_consultar_error.xsl|JAXB marshaling,Validación IOC crítica. Request/Response AMQ. Transformación XSLT. Timeout 502,CRITICA,ActiveMQ|IOC
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,validarTrx,Validacion,Route,Validación de transacciones con servicio TOC externo. Verifica estado de transacción,direct:validarTrx,SOAP,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,requestValidarToc|responseValidarToc,5|9,500|504,,,,,servicioToc call,,IllegalArgumentException|ConnectException,,Validación de transacción en TOC. Estado 5 si error. Estado 9 si timeout,ALTA,servicioToc
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,persona,Validacion,Route,Consulta y valida información personal del socio. Obtiene correo electrónico,direct:persona,SOAP,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,requestPersona|responsePersona,,500,,,,,servicioPersona call,Correo validation,IllegalArgumentException,,Consulta de datos personales. Validación de correo electrónico,MEDIA,servicioPersona
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,buscarDocumentoAWS,Integracion AWS,Route,Busca y obtiene documento desde AWS S3 antes de firmar. PollEnrich pattern,direct:buscarDocumentoAWS,HTTP/REST,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,obtenerDocumentoAWS,6,446,,,,AWS S3|{{firmartoc.firmar.amazon.s3.default.bucket}}|region=us-west-2,,Prefix S3|Documento existence,,pollEnrich timeout=5000,Búsqueda de documento en S3. Error 446 si no existe. Estado 6 en error,ALTA,AWS S3
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,firmaSimple,Firma FES,Route,Firma electrónica simple (FES) usando servicio TOC. Guarda documento firmado en S3,direct:firmaSimple,SOAP,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,construirFirmaSimple|firmaSimpleResponse,7|9,500|504,,,,,servicioToc call|guardarDocumento,TipoFirma=FES,ConnectException,,Firma FES. Llamada a servicioToc. Guarda en S3. Estado 7 en error,ALTA,servicioToc|guardarDocumento
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,firmaAvanzada,Firma FEA,Route,Firma electrónica avanzada (FEA) usando Document Signer. Guarda documento firmado en S3,direct:firmaAvanzada,SOAP,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,construirFirmaAvanzada|firmmaAvanzadaResponse,7|9,500|504,,,,,servicioDocumentSigner call|guardarDocumento,TipoFirma=FEA,IllegalArgumentException|ConnectException,,Firma FEA. Llamada a DocumentSigner. Guarda en S3. Estado 7 en error,CRITICA,servicioDocumentSigner|guardarDocumento
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,guardarDocumento,Almacenamiento,Route,Guarda documento firmado en AWS S3 con key generado dinámicamente,direct:guardarDocumento,HTTP/REST,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,,8,479,,,,AWS S3|{{firmartoc.firmar.amazon.s3.default.bucket}}|CamelAwsS3Key,,,,,Almacenamiento final S3. Key: prefix_TipoFirma.pdf. Estado 8 en error,ALTA,AWS S3
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,cambiarEstadoFlujo,Control Flujo,Route,Actualiza el estado del flujo de firma en base de datos. Control de estados 1-10,direct:cambiarEstadoFlujo,SQL,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,requestActualizarFlujo|responseActualizarFlujo,1-10,500,SQL Server,firmatoc.jdbc.*,ActiveMQ (fault queue),,,pa_updEstadoFlujo.sql,Estado validation,IllegalArgumentException,,Control de estados. Escribe en cola fault si error. Estados: 1=inicio 2=autenticado 3=error IOC 4=timeout 5=error validación 6=error S3 7=error firma 8=error almacenamiento 9=timeout servicio 10=completado,ALTA,SQL Server|ActiveMQ
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,excepcion,Manejo Errores,Route,Manejo centralizado de excepciones. Escribe en cola fault y genera respuesta de error,direct:excepcion,AMQ,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,excepcionAmq|excepcionCrear,,500|502|504|467|446|479|424,,,,ActiveMQ|{{amq.queue.fault}}|exchangePattern=InOnly,,,,,JSON marshaling,Handler central de errores. Serializa a JSON. Envía a cola fault. Genera respuesta SOAP/REST,ALTA,ActiveMQ
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,dataSource,Configuracion BD,Bean,Pool de conexiones a base de datos SQL Server con configuración de eviction y pooling,BasicDataSource,JDBC,,,org.apache.commons.dbcp.BasicDataSource,driverClassName|url|username|password|timeBetweenEvictionRunsMillis|numTestsPerEvictionRun|minEvictableIdleTimeMillis|maxActive,,500,SQL Server,firmatoc.jdbc.*|charset=iso_1|domain=coopeuch1|usentlmv2=true,,,Multiple SQL procedures,,,Pool de conexiones DBCP. Configuración de eviction. Domain coopeuch1. Charset iso_1,ALTA,SQL Server
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,beanAMQ,Configuracion AMQ,Bean,Configuración de ActiveMQ para comunicación asíncrona con IOC y cola de faults,ActiveMQComponent,AMQ,,,org.apache.activemq.camel.component.ActiveMQComponent,brokerURL|userName|password|usePooledConnection=true,,502,,,ActiveMQ|{[amq.broker.url]}|Pooled connections,,,,,Pool de conexiones AMQ. Queues: temp.int (IOC) y fault (errores),ALTA,ActiveMQ
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,beanRouteFacade,Utilidad,Bean,Bean de utilidad con métodos de transformación y lógica de negocio del servicio,RouteFacade,Internal,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,30+ métodos de transformación,,,,,,,Multiple,RUT|Tiempo|TipoFirma|Token|IOC,Multiple exceptions,XSLT|JSON|JAXB,Facade con lógica de negocio. Transformaciones request/response. Validaciones RUT. Manejo IOC,ALTA,Todas las rutas
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,propertyGlobal,Configuracion,PropertyPlaceholder,Placeholder de propiedades globales compartidas entre servicios,global,Config,,,,placeholder-prefix={[|placeholder-suffix=]}|update-strategy=reload,,,,,,,,,,,Propiedades globales. Prefix {[ Suffix ]}. Reload automático,MEDIA,Config files
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,wsfirmatoc,Configuracion,PropertyPlaceholder,Placeholder de propiedades específicas del servicio firma TOC,wsfirmatoc,Config,,,,placeholder-prefix=[{|placeholder-suffix=}]|update-strategy=reload,,,,,,,,,,,Propiedades servicio. Prefix [{ Suffix }]. Reload automático,MEDIA,Config files
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,sqlComponent,Componente SQL,Bean,Componente SQL de Camel configurado con datasource para ejecutar procedures,SqlComponent,SQL,,,org.apache.camel.component.sql.SqlComponent,dataSource=dataSource,,500,SQL Server,firmatoc.jdbc.*,,,pa_insFlujoFirmaBiometrica_InsertToken|pa_selFlujoFirmaBiometrica|pa_updFlujoFirmaBiometrica_datosFlujo|pa_selValidacionTiempo|pa_updEstadoFlujo|pa_insLogFirmaDocumento|pa_updLogFirmaDocumento,,,Componente para ejecutar SQL stored procedures. Usa datasource configurado,ALTA,dataSource
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,servicio-auditoria,Servicio Principal,CamelContext,Servicio de auditoría para convenios que registra eventos de login/logout usuarios administración y gestión de solicitudes de crédito,/convenios/WSServicioDeAuditoria,SOAP,etc/wsdl/WSServicioDeAuditoria.wsdl,,Apache Camel Blueprint OSGi|DataFormat=MESSAGE,,,800,SQL Server,jdbc.*.usuarioConvenio|net.sourceforge.jtds.jdbc.Driver,ActiveMQ|${amq.broker.url}|usePooledConnection=true,,,sp_audit_login|sp_audit_logout|sp_audit_accept_credit_request|sp_audit_reject_credit_request|sp_audit_user_admin|sp_audit_delete_user|sp_audit_planilla,RUT|Action|SolicitudId|ModuleId,Exception,Jackson XML|XSLT,Servicio de auditoría para convenios. Registra eventos críticos de negocio. 6 operaciones principales,ALTA,SQL Server|ActiveMQ
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,servicioDeAuditoriaEndpoint,Endpoint SOAP Interno,cxfEndpoint,Endpoint principal SOAP para el servicio de auditoría de convenios,/convenios/WSServicioDeAuditoria,SOAP,etc/wsdl/WSServicioDeAuditoria.wsdl,,Apache CXF|DataFormat=MESSAGE,,,800,SQL Server,jdbc.*.usuarioConvenio,ActiveMQ,,,sp_audit_login|sp_audit_logout|sp_audit_accept_credit_request|sp_audit_reject_credit_request|sp_audit_user_admin|sp_audit_delete_user|sp_audit_planilla,RUT|Action|SolicitudId|ModuleId,Exception,Jackson XML|XSLT,Endpoint principal de auditoría. DataFormat MESSAGE para SOAP,ALTA,Apache CXF|Blueprint
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,dataSource,Configuracion BD,Bean,Pool de conexiones a base de datos SQL Server para auditoría de convenios con configuración específica,BasicDataSource,JDBC,,,org.apache.commons.dbcp.BasicDataSource,driverClassName|url|username|password|timeBetweenEvictionRunsMillis|numTestsPerEvictionRun|minEvictableIdleTimeMillis|maxActive,,800,SQL Server,jdbc.*.usuarioConvenio|net.sourceforge.jtds.jdbc.Driver|charset=iso_1,,,sp_audit_login|sp_audit_logout|sp_audit_accept_credit_request|sp_audit_reject_credit_request|sp_audit_user_admin|sp_audit_delete_user|sp_audit_planilla,,,Pool de conexiones DBCP para auditoría. Driver JTDS. Configuración específica usuarioConvenio,ALTA,SQL Server
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,beanAMQ,Configuracion AMQ,Bean,Configuración de ActiveMQ para comunicación asíncrona y cola de faults en auditoría,ActiveMQComponent,AMQ,,,org.apache.activemq.camel.component.ActiveMQComponent,brokerURL|userName|password|usePooledConnection=true,,800,,,ActiveMQ|${amq.broker.url}|Pooled connections,,,,,Pool de conexiones AMQ para auditoría. Queue fault para errores,ALTA,ActiveMQ
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,beanRouteFacade,Utilidad,Bean,Bean de utilidad con métodos de transformación y lógica de negocio para auditoría,RouteFacade,Internal,,,cl.coopeuch.integracion.auditoria.util.RouteFacade,backupBody|excepcionAmq|excepcionCrear,,,,,,,sp_audit_login|sp_audit_logout|sp_audit_accept_credit_request|sp_audit_reject_credit_request|sp_audit_user_admin|sp_audit_delete_user|sp_audit_planilla,RUT|Action|SolicitudId|ModuleId,Exception,Jackson XML|XSLT,Facade con lógica de auditoría. Backup de body. Manejo de excepciones,ALTA,Todas las rutas
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,call_sp_audit_login,Stored Procedure,Bean,Stored procedure para auditoría de login de usuarios. Registra inicio de sesión,sp_audit_login,SQL,,,cl.coopeuch.integracion.auditoria.util.db.StoredProcedureBean,7 parámetros input|1 parámetro output,,,,SQL Server,jdbc.*.usuarioConvenio,,,sp_audit_login,RUT|Action|SolicitudId|ModuleId|ModulesListStr|Admin,Exception,,Auditoría de login. Parámetros: rut action solicitudId moduleId modulesListStr admin status,ALTA,dataSource
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,call_sp_audit_logout,Stored Procedure,Bean,Stored procedure para auditoría de logout de usuarios. Registra cierre de sesión,sp_audit_logout,SQL,,,cl.coopeuch.integracion.auditoria.util.db.StoredProcedureBean,4 parámetros input|1 parámetro output,,,,SQL Server,jdbc.*.usuarioConvenio,,,sp_audit_logout,RUT|Action|SolicitudId|ModuleId,Exception,,Auditoría de logout. Parámetros: rut action solicitudId moduleId status,ALTA,dataSource
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,call_sp_audit_accept_credit_request,Stored Procedure,Bean,Stored procedure para auditoría de aceptación de solicitudes de crédito. Registra aprobación,sp_audit_accept_credit_request,SQL,,,cl.coopeuch.integracion.auditoria.util.db.StoredProcedureBean,6 parámetros input|1 parámetro output,,,,SQL Server,jdbc.*.usuarioConvenio,,,sp_audit_accept_credit_request,RUT|Action|SolicitudId|ModuleId|CreditRequestId|RutSocio|Amount,Exception,,Auditoría de aceptación crédito. Parámetros: rut action solicitudId moduleId creditRequestId rutSocio amount status,ALTA,dataSource
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,call_sp_audit_reject_credit_request,Stored Procedure,Bean,Stored procedure para auditoría de rechazo de solicitudes de crédito. Registra rechazo con motivo,sp_audit_reject_credit_request,SQL,,,cl.coopeuch.integracion.auditoria.util.db.StoredProcedureBean,8 parámetros input|1 parámetro output,,,,SQL Server,jdbc.*.usuarioConvenio,,,sp_audit_reject_credit_request,RUT|Action|SolicitudId|ModuleId|CreditRequestId|RutSocio|Reason|Observation|Amount,Exception,,Auditoría de rechazo crédito. Parámetros: rut action solicitudId moduleId creditRequestId rutSocio reason observation amount status,ALTA,dataSource
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,call_sp_audit_user_admin,Stored Procedure,Bean,Stored procedure para auditoría de administración de usuarios. Registra creación/actualización de usuarios,sp_audit_user_admin,SQL,,,cl.coopeuch.integracion.auditoria.util.db.StoredProcedureBean,16 parámetros input|1 parámetro output,,,,SQL Server,jdbc.*.usuarioConvenio,,,sp_audit_user_admin,RUT|RutExecutor|Action|SolicitudId|ModuleId|FirstName|SecondName|LastName|SecondLastName|Phone|Email|PhoneMovil|PermissionType|StartDate|EndDate|ModuleAccess|UserType|HasIndexaUser|IndexaProfile,Exception,,Auditoría de usuarios admin. Parámetros completos de usuario incluyendo Indexa. 16 campos input,ALTA,dataSource
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,call_sp_audit_delete_user,Stored Procedure,Bean,Stored procedure para auditoría de eliminación de usuarios. Registra borrado de usuarios,sp_audit_delete_user,SQL,,,cl.coopeuch.integracion.auditoria.util.db.StoredProcedureBean,16 parámetros input|1 parámetro output,,,,SQL Server,jdbc.*.usuarioConvenio,,,sp_audit_delete_user,RUT|Action|SolicitudId|ModuleId|RutExecutor|FirstName|SecondName|LastName|SecondLastName|Phone|Email|PhoneMovil|PermissionType|StartDate|EndDate|ModuleAccess|UserType|HasIndexaUser|IndexaProfile,Exception,,Auditoría de borrado usuarios. Parámetros completos de usuario. 16 campos input,ALTA,dataSource
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,call_sp_audit_planilla,Stored Procedure,Bean,Stored procedure para auditoría de planillas. Registra eventos de planillas de convenios,sp_audit_planilla,SQL,,,cl.coopeuch.integracion.auditoria.util.db.StoredProcedureBean,11 parámetros input|1 parámetro output,,,,SQL Server,jdbc.*.usuarioConvenio,,,sp_audit_planilla,RUT|NombreSocio|Action|SolicitudId|ModuleId|PlanillaId|InformedAmount|PaidAmount|FileName|Reason|PalniaStatus|RutExecutor,Exception,,Auditoría de planillas. Parámetros: rut nombreSocio action solicitudId moduleId planillaId informedAmount paidAmount fileName reason palniaStatus rutExecutor status,ALTA,dataSource
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,loginAudit,Operacion,Route,Auditoría de inicio de sesión de usuarios. Registra login con módulos y permisos admin,direct:inicioDeSesionDeAuditoria,Internal,,,cl.coopeuch.integracion.auditoria.util.RouteFacade,XPath extraction|Marshal Jackson|XSLT transformation,,800,SQL Server,jdbc.*.usuarioConvenio,,,sp_audit_login,RUT|Action|SolicitudId|ModuleId|ModulesListStr|Admin,Exception,Jackson XML|XSLT auditLoginResponse.xsl,Auditoría de login. Extrae datos con XPath. Ejecuta SP. Transforma respuesta XSLT,MEDIA,dataSource|XSLT
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,auditoriaDeCierreDeSesion,Operacion,Route,Auditoría de cierre de sesión de usuarios. Registra logout con información de sesión,direct:auditoriaDeCierreDeSesion,Internal,,,cl.coopeuch.integracion.auditoria.util.RouteFacade,XPath extraction|Marshal Jackson|XSLT transformation,,800,SQL Server,jdbc.*.usuarioConvenio,,,sp_audit_logout,RUT|Action|SolicitudId|ModuleId,Exception,Jackson XML|XSLT auditLogoutResponse.xsl,Auditoría de logout. Extrae datos con XPath. Ejecuta SP. Transforma respuesta XSLT,MEDIA,dataSource|XSLT
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,auditoriaDeAceptarSolicitudCredito,Operacion,Route,Auditoría de aceptación de solicitudes de crédito. Registra aprobación con monto y datos del socio,direct:auditoriaDeAceptarSolicitudCredito,Internal,,,cl.coopeuch.integracion.auditoria.util.RouteFacade,XPath extraction|Marshal Jackson|XSLT transformation,,800,SQL Server,jdbc.*.usuarioConvenio,,,sp_audit_accept_credit_request,RUT|Action|SolicitudId|ModuleId|CreditRequestId|RutSocio|Amount,Exception,Jackson XML|XSLT AuditoriaAceptarCreditoResponse.xsl,Auditoría de aceptación crédito. Extrae datos con XPath. Ejecuta SP. Transforma respuesta XSLT,ALTA,dataSource|XSLT
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,auditoriaDeRechazarSolicitudCredito,Operacion,Route,Auditoría de rechazo de solicitudes de crédito. Registra rechazo con motivo y observaciones,direct:auditoriaDeRechazarSolicitudCredito,Internal,,,cl.coopeuch.integracion.auditoria.util.RouteFacade,XPath extraction|Marshal Jackson|XSLT transformation,,800,SQL Server,jdbc.*.usuarioConvenio,,,sp_audit_reject_credit_request,RUT|Action|SolicitudId|ModuleId|CreditRequestId|RutSocio|Reason|Observation|Amount,Exception,Jackson XML|XSLT AuditoriaRechazarCreditoResponse.xsl,Auditoría de rechazo crédito. Extrae datos con XPath. Ejecuta SP. Transforma respuesta XSLT,ALTA,dataSource|XSLT
coopeuch-migracion-convenios-rsauditoria,servicio-auditoria,auditoriaCrearActualizarUsuarioConvenio,Operacion,Route,Auditoría de creación/actualización de usuarios de convenios. Registra cambios en usuarios admin,direct:auditoriaCrearActualizarUsuarioConvenio,Internal,,,cl.coopeuch.integracion.auditoria.util.RouteFacade,XPath extraction|Marshal Jackson|XSLT transformation,,800,SQL Server,jdbc.*.usuarioConvenio,,,sp_audit_user_admin,RUT|RutExecutor|Action|SolicitudId|ModuleId|FirstName|SecondName|LastName|SecondLastName|Phone|Email|PhoneMovil|PermissionType|StartDate|EndDate|ModuleAccess|UserType|HasIndexaUser|IndexaProfile,Exception,Jackson XML|XSLT auditUserAdminResponse.xsl,Auditoría de usuarios admin. Extrae 16 campos con XPath. Ejecuta SP. Transforma respuesta XSLT,ALTA,dataSource|XSLT
